Section,Scope,Metric,N,Mean,Variance,Std,CI95 Lower,CI95 Upper
scalability,sepolia:batch_10,tps,30,0.2673573544950223,0.0034910192192759456,0.059084847628439775,0.24621411331115894,0.28850059567888564
scalability,sepolia:batch_10,avgLatency,30,27048.51333333333,4525132.045333333,2127.235775680104,26287.291787278293,27809.734879388365
scalability,sepolia:batch_10,successRate,30,100,0,0,100,100
scalability,sepolia:batch_100,tps,30,1.74359504384025,0.06644094921551537,0.2577614191757862,1.6513563045986632,1.835833783081837
scalability,sepolia:batch_100,avgLatency,30,26933.246999999996,257208.4733872414,507.1572471997629,26751.76310986422,27114.730890135772
scalability,sepolia:batch_100,successRate,30,100,0,0,100,100
scalability,sepolia:batch_1000,tps,30,13.421214042566488,3.2978439760085503,1.8159966894266493,12.771367973146084,14.071060111986892
scalability,sepolia:batch_1000,avgLatency,30,27134.75536666666,41285.11874203319,203.18739808864424,27062.045690061826,27207.465043271495
scalability,sepolia:batch_1000,successRate,30,100,0,0,100,100
scalability,sepolia:batch_10000,tps,30,107.90886587822946,117.18612436769027,10.825254009384272,104.0350984812763,111.78263327518263
scalability,sepolia:batch_10000,avgLatency,30,27441.751763333337,3902.0864118271875,62.46668241412527,27419.39834811353,27464.105178553145
scalability,sepolia:batch_10000,successRate,30,100,0,0,100,100
scalability,iota:batch_10,tps,30,5.617595413161338,1.3913198267412792,1.1795422106653408,5.195501653971538,6.039689172351137
scalability,iota:batch_10,avgLatency,30,1090.506666666667,26599.52478160921,163.09360742104275,1032.1443687906608,1148.868964542673
scalability,iota:batch_10,successRate,30,100,0,0,100,100
scalability,iota:batch_100,tps,30,37.83260934748383,35.75316071237596,5.9793946777559315,35.69291044193144,39.972308253036225
scalability,iota:batch_100,avgLatency,30,1096.359,2934.2263058620692,54.16849920259993,1076.9750515059498,1115.74294849405
scalability,iota:batch_100,successRate,30,100,0,0,100,100
scalability,iota:batch_1000,tps,30,282.3449243178437,660.8937732938413,25.707854311354755,273.1454867997386,291.54436183594885
scalability,iota:batch_1000,avgLatency,30,1086.141266666667,220.47574971954046,14.848425833048447,1080.827825722161,1091.454707611173
scalability,iota:batch_1000,successRate,30,100,0,0,100,100
scalability,iota:batch_10000,tps,30,2233.659861353041,30518.014716274825,174.69406033484603,2171.146394714766,2296.173327991316
scalability,iota:batch_10000,avgLatency,30,1135.3640966666667,67.93494869619568,8.242265992807784,1132.4146396606438,1138.3135536726895
scalability,iota:batch_10000,successRate,30,100,0,0,100,100
