Section,Scope,Metric,N,Mean,Variance,Std,CI95 Lower,CI95 Upper
throughput,Sepolia,tps,30,13.240579891036274,4.5223137032576926,2.1265732301657736,12.47959543384864,14.001564348223908
throughput,Sepolia,avgLatency,30,27148.225066666666,27554.572115443578,165.99569908718593,27088.824268625256,27207.625864708076
throughput,Sepolia,successRate,30,100,0,0,100,100
throughput,IOTA,tps,30,287.5485230964172,985.705546911868,31.39594793778121,276.31362741522724,298.7834187776072
throughput,IOTA,avgLatency,30,1092.747933333333,227.58005337471303,15.08575663911867,1087.349564650591,1098.1463020160752
throughput,IOTA,successRate,30,100,0,0,100,100
