Section,Scope,Metric,N,Mean,Variance,Std,CI95 Lower,CI95 Upper
latency,Sepolia,avgLatency,30,27269.358666666667,360180.99726023007,600.150812096618,27054.597456708965,27484.11987662437
latency,Sepolia,p95Latency,30,42238.9,35750706.64482758,5979.1894638677895,40099.274529294365,44378.52547070564
latency,Sepolia,successRate,30,100,0,0,100,100
latency,IOTA,avgLatency,30,1084.7573333333332,3202.8415029885055,56.59365249732964,1064.5055548781945,1105.009111788472
latency,IOTA,p95Latency,30,1994.8,26559.889655172414,162.97205176094585,1936.4812002583185,2053.1187997416814
latency,IOTA,successRate,30,100,0,0,100,100
